Query,answer_gold,50_median,50_cardinals,50_hnoun,50_hnoun_list,50_hnoun_freq,50_amod_freq,50_entities,precision_hnoun_50,correctness_hnoun_50,std_hnoun_50,precision_all_50,correctness_all_50,std_all_50
How many employees does Diffbot have?,34,10,"{34,10,10,45,10,10,90988,10,10,10,10,10,10,678,10,10,100,3,10,10,10,10,10,32035,28,216,370,10,505,10,1,1,8,111,179,1500,10,10,3,10,10,123,30000,110000,1,10,10,10,10,10,951,2}",34.000,"{34: ""34 employees"",45: ""45 employees"",678: ""their estimated 678 employees"",10: ""10 employees"",28: ""28 employees"",216: ""216 employees"",505: ""their estimated 505 employees"",8: ""8 employees"",3: ""3 employees"",110000: ""over 110,000 employees"",10: ""10 employees""}",{11: employees),"{9: ,2: estimated}","{Netflix: (ORG,1,1.00),K: (ORG,2,1.00),PYTHON: (WORK_OF_ART,1,1.00),Athens: (GPE,2,1.00),Oracle: (ORG,1,1.00),influenza: (ORG,2,1.00),US: (GPE,1,1.00),Russian: (NORP,1,1.00),Twitter: (PERSON,1,1.00),Americans: (NORP,1,1.00),Cham: (PERSON,1,1.00),American Airlines: (ORG,1,1.00),CCC: (ORG,2,1.00),IBM: (ORG,1,1.00),CDC: (ORG,1,1.00),Amazon: (ORG,3,1.00),Columbia: (ORG,1,1.00),French: (LANGUAGE,1,1.00),Retail Price: (PERSON,1,1.00),EU: (ORG,1,1.00),American: (NORP,1,1.00),Personal Information: (ORG,1,1.00),Google: (ORG,2,1.00),MD: (ORG,1,1.00),MAP: (ORG,1,1.00),eCommerce: (ORG,1,1.00),English: (LANGUAGE,1,1.00),European: (NORP,1,1.00),MICROSOFT: (ORG,1,1.00),Seattle: (GPE,1,1.00),Ireland: (GPE,1,1.00),API: (ORG,1,1.00),UK: (GPE,1,1.00),Ukrainian: (NORP,1,1.00),Chinese: (NORP,1,1.00),Toronto: (GPE,1,1.00),Renaissance: (ORG,1,1.00)}",1,1.000,33120.705,0,0.294,20256.340
How many employees does Allen Institute for AI have?,124,17,"{712,1,9988,8134,926,920,17,34,1,533,1,1,5,1,1}",373.000,"{712: ""712 employees"",34: ""34 employees""}",{2: employees),{2: ),"Research: (ORG,1,1.00),Britain: (GPE,1,1.00),NIH: (ORG,3,1.00),Texas: (GPE,1,1.00),New York: (GPE,1,1.00),Dallas: (GPE,2,1.00),Paul Allen: (PERSON,4,1.00),Maryland: (GPE,1,1.00),Aurora: (PERSON,1,1.00),Google: (ORG,1,1.00),BBC: (ORG,1,1.00),English: (LANGUAGE,1,1.00),Microsoft: (ORG,4,1.00),Multimedia: (ORG,1,1.00),AIR: (ORG,1,1.00),Seattle: (GPE,1,1.00),California: (GPE,1,1.00),Bethesda: (GPE,1,1.00),flux: (GPE,1,1.00),Bill Gates: (PERSON,2,1.00),Allen: (PERSON,3,1.00),United States: (GPE,1,1.00),Japanese: (NORP,1,1.00),UK: (GPE,1,1.00),Alan Turing: (PERSON,1,1.00),SAS: (ORG,2,1.00)}",0,0.332,479.418,0,0.137,3142.377
How many faculty members does University of North Dakota have?,1110,24,"{2,18,1,14,250,10519,13500,140,3,69,3000,3501,2,10000,26,3,1000,88,22,9,13,15}",1.000,"{1: ""every one instructional faculty member""}",{1: member),{1: instructional),"Coyotes: (PERSON,1,1.00),ND: (GPE,1,1.00),Indian: (NORP,2,1.00),Lincoln: (ORG,1,1.00),Cornhuskers: (ORG,1,1.00),Minnesota: (GPE,1,1.00),Forensic: (ORG,1,1.00),Undergraduate: (ORG,1,1.00),NCATE: (ORG,1,1.00),NCA: (ORG,1,1.00),Alaska Natives: (ORG,1,1.00),Hail: (GPE,1,1.00),North Dakota: (GPE,9,1.00),Excel: (PRODUCT,1,1.00),American: (NORP,2,1.00),Denton: (GPE,1,1.00),Dakota: (GPE,2,1.00),Microsoft: (ORG,3,1.00),North Texas: (FAC,2,1.00),Huskers: (NORP,1,1.00),Catholic: (NORP,1,1.00),Iowa: (GPE,2,1.00)}",0,0.001,,0,0.022,3990.018
How many faculty members does UCSD have?,10625,2,"{10,200,30800,76,23,858,4,1,2,80,1,2,1,2,3,2,1,1,1}",51.000,"{23: ""23 National Academy members"",80: ""over 80 faculty members""}",{2: members),{2: ),"MIA: (ORG,1,1.00),Hillcrest: (GPE,2,1.00),OSI: (ORG,1,1.00),Active Directory: (ORG,1,1.00),Pew: (ORG,1,1.00),University: (ORG,1,1.00),Academic Affairs: (ORG,1,1.00),Internal Medicine: (ORG,1,1.00),Blink: (GPE,1,1.00),San Diego: (GPE,21,1.00),FAQ: (ORG,1,1.00),CDC: (ORG,1,1.00),Health System: (ORG,1,1.00),UCSD: (ORG,6,1.00),English: (LANGUAGE,3,1.00),Mailman: (NORP,1,1.00),California: (GPE,1,1.00),DEM: (ORG,1,1.00),La Jolla: (PERSON,3,1.00),National Academy: (ORG,2,1.00),MPP: (ORG,1,1.00),Tsunami: (GPE,1,1.00),UC: (ORG,1,1.00),Jordan: (PERSON,1,1.00),Latin American: (NORP,1,1.00)}",0,0.005,40.305,0,0.000,7052.600
How many songs does Hollywood Undead have?,219,4,"{6,1,1,4,37,29,5,1,2,2,2,2,200,154,6,5,2,3,1,2,3,2,1,0,22,1,200000000,1,4,10,10,9,5,1000000,29787,10,4,14,3,1,3,36,200000000,1,9}",2.000,"{2: ""two official albums - Swan Songs"",2: ""two official albums - Swan Songs"",2: ""two official albums - Swan Songs"",10: ""the top 10 best Hollywood Undead songs"",14: ""14 songs"",3: ""3 songs""}","{3: songs,3: Songs}","{1: top,2: ,1: best,3: official}","{hollywood: (GPE,2,1.00),Charlie: (PERSON,3,1.00),Lust: (PERSON,1,1.00),wat: (PERSON,1,1.00),American: (NORP,4,1.00),Bullet: (ORG,5,1.00),California: (GPE,3,1.00),HU: (ORG,5,1.00),III: (ORG,1,1.00),Johnny: (PERSON,1,1.00),Swan: (PERSON,1,1.00),Yo: (PERSON,1,1.00),MySpace: (PERSON,1,1.00),Band: (ORG,1,1.00),Dead: (PERSON,1,1.00),Jeff: (PERSON,1,1.00),RIAA: (ORG,1,1.00),Amazon: (ORG,1,1.00),california: (GPE,1,1.00),LA: (GPE,1,1.00),Danny: (PERSON,7,1.00),CCC: (ORG,1,1.00),Los Angeles: (GPE,3,1.00),Deuce: (PERSON,12,1.00),Christian: (NORP,1,1.00),Anonymous: (ORG,1,1.00),GI: (ORG,1,1.00),swan: (PERSON,2,1.00),Aron: (PERSON,1,1.00),Hollywood: (GPE,60,1.00),Login: (PERSON,1,1.00)}",0,0.009,5.206,0,0.018,41677087.530
How many characters does Lord of the Rings have?,832,3,"{888,218,3,2,2,3,2,2,3,3,1,1,19,3,1,3,1,3,15,360,15,1,1,3,9,1,4,5,3,3}",1.000,"{3: ""three Account Types"",1: ""the One Ring"",19: ""the nineteen other Rings"",1: ""The One Ring"",1: ""only One Ring"",1: ""the One Ring"",4: ""four parts""}","{1: Types,1: parts,4: Ring,1: Rings}","{6: ,1: other}",,0,0.001,6.601,0,0.004,174.565
How many subway stations does New York have?,472,28,"{472,470,4,5,1,1,468,423,28,472,1,1000000,70,9,2,1,68,170,171,2,1,157,189,122,1,214,625,1,1000000,1,1,468,3,472,72,86,96,424,472,27,472,69,468,423,1,75,4,550000,2,23,19,2,1,1,12,405,1,2,27,4,468,600000,1,9,2}",287.000,"{472: ""the 472 stations"",468: ""468 New York City subway stations"",28: ""28 stations"",472: ""472 stations"",1: ""one station"",70: ""70 New York City Subway stations"",1: ""one station"",170: ""170 New York City Subway stations"",1: ""one station"",1: ""at least one subway station"",468: ""468 MTA Subway stations"",3: ""three new stations"",472: ""472 stations"",96: ""96 St Second Avenue Subway stations"",424: ""424 stations"",472: ""472 stations"",472: ""472 stations"",468: ""468 subway stations"",75: ""75 stations"",405: ""405 stations"",4: ""just four new subway stations"",468: ""468 stations""}","{18: stations,4: station}","{20: ,2: new}",,0,0.608,218.519,0,0.059,197997.765
How many subway stations does Berlin have?,173,15,"{109,128,10,173,23,75,4,4,12,1,2,12,337,149,70,9,2,1,68,15,7,36,147,8,1,1,69,468,423,38,151,32,18,1,121,15,115000000,23,19,2,1,1,12,405,2,509,510,1,13,2,1}",72.000,"{173: ""173 stations"",75: ""75 stations"",12: ""12 stations"",337: ""337 stations"",70: ""70 New York City Subway stations"",1: ""one station"",7: ""Seven subway stations"",183: ""only 36 of 147 stations"",468: ""468 subway stations"",38: ""38 train stations"",151: ""151 New York City Subway stations"",1: ""one station"",405: ""405 stations"",13: ""13 stations""}","{12: stations,2: station}",{14: ),,0,0.416,158.842,0,0.087,16103209.090
How many ice lines does Germany have?,32,12,"{300,80,175,13,24,2,3,5,1,20000,400,53,7,1300,5000,5,3,403,406,407,3,4,5,5,23,20,6,53,46,11,4,1,147000,2,6,2}",3.000,"{24: ""the 24 ICE lines"",3: ""the 3 ICE Sprinter lines"",2: ""up to two lines""}",{3: lines),{3: ),"ICE: (ORG,16,1.00),Travel: (GPE,1,1.00),Android: (ORG,1,1.00),Switzerland: (GPE,2,1.00),American: (NORP,1,1.00),Belgium: (GPE,2,1.00),Berlin: (GPE,3,1.00),France: (GPE,1,1.00),European: (NORP,2,1.00),Europe: (LOC,4,1.00),DB: (ORG,1,1.00),Germany: (GPE,37,1.00),Ontario: (GPE,1,1.00),British Columbia: (GPE,1,1.00),USA: (GPE,1,1.00),Cologne: (GPE,3,1.00),UIC: (ORG,1,1.00),NHL: (ORG,1,1.00),Earth: (LOC,2,1.00),Munich: (GPE,3,1.00),French: (NORP,1,1.00),NFL: (ORG,1,1.00),Denmark: (GPE,1,1.00),the Netherlands: (GPE,2,1.00),German: (NORP,8,1.00),Canada: (GPE,1,1.00),Dutch: (NORP,1,1.00),Japan: (GPE,1,1.00),Austria: (GPE,3,1.00),East: (LOC,1,1.00),hockey: (GPE,1,1.00),EO: (ORG,1,1.00),Zynga: (PERSON,1,1.00),Frankfurt: (GPE,4,1.00)}",0,0.094,12.423,0,0.375,24598.609
How many hospitals does tennessee have?,176,16,"{1,2020,185,119,5000,16,407,1,7,5,61,128000,14,3,9,1,5000,126,83,17,943,6,1000000,4,7,569,1962,2800,12,8,6,5,4,7000,581,1,5,21388,32000,1,5000,2}",185.000,"{185: ""185 hospitals"",5000: ""nearly 5,000 hospitals"",407: ""407 hospitals"",61: ""61 hospitals"",14: ""14 Hospitals"",5000: ""nearly 5,000 hospitals"",126: ""126 hospitals"",2800: ""more than 2,800 U.S. hospitals"",8: ""eight hospitals""}","{8: hospitals,1: Hospitals}","{8: ,1: more}","{Massachusetts: (GPE,1,1.00),Tennessee: (GPE,26,1.00),Interior: (ORG,1,1.00),Virginia: (GPE,1,1.00),United Kingdom: (GPE,1,1.00),External: (ORG,1,1.00),Medical Center: (ORG,1,1.00),Pennsylvania: (GPE,1,1.00),Trauma: (GPE,1,1.00),West Tennessee: (GPE,1,1.00),Large Company: (ORG,1,1.00),North Carolina: (GPE,1,1.00),Franklin: (ORG,1,1.00),THA: (ORG,2,1.00),Martin: (GPE,1,1.00),St. John: (GPE,1,1.00),Medicaid: (ORG,1,1.00),St. Mary's: (GPE,1,1.00),Washington: (GPE,1,1.00),Michigan: (GPE,1,1.00),TN: (ORG,10,1.00),Mountain City: (GPE,1,1.00),HCA: (ORG,1,1.00),Alabama: (GPE,2,1.00),General Hospital: (ORG,1,1.00),South Carolina: (GPE,1,1.00),Memphis: (GPE,5,1.00),American: (NORP,1,1.00),Murfreesboro: (ORG,1,1.00),California: (GPE,1,1.00),Knoxville: (GPE,10,1.00),Adrian: (NORP,1,1.00),Winchester: (GPE,1,1.00),NYSE: (ORG,1,1.00),Georgia: (GPE,1,1.00),Wayne County: (GPE,1,1.00),St. Jude: (GPE,1,1.00),Lexington: (GPE,1,1.00),United States: (GPE,2,1.00),Vanderbilt: (GPE,2,1.00),US News: (ORG,1,1.00),Nashville: (GPE,7,1.00),Notes: (PRODUCT,1,1.00),Kentucky: (GPE,2,1.00),Medicare: (ORG,1,1.00),CMS: (ORG,1,1.00),Chattanooga: (GPE,1,1.00),Mississippi: (GPE,1,1.00)}",0,0.951,2165.225,0,0.091,154836.855
